"Story","Title","Result","Date","Stability","Duration (s)"
"HU07","ver un training de manera incorrecta","SUCCESS","2021-12-03T00:20:43.7684488-05:00[America/Bogota]","0.0","3.55"
"HU07","actualizar un training","SUCCESS","2021-12-03T00:20:47.3287795-05:00[America/Bogota]","0.0","1.06"
"HU07","actualizar un training de manera incorrecta","SUCCESS","2021-12-03T00:20:48.3990262-05:00[America/Bogota]","0.0","0.48"
"HU07","crear un training nuevo","SUCCESS","2021-12-03T00:20:48.886707-05:00[America/Bogota]","0.0","0.56"
"HU07","crear un training de manera incorrecta","SUCCESS","2021-12-03T00:20:49.4532324-05:00[America/Bogota]","0.0","0.41"
"HU07","eliminar un training","SUCCESS","2021-12-03T00:20:49.8781294-05:00[America/Bogota]","0.0","0.47"
"HU07","eliminar un training de manera incorrecta","SUCCESS","2021-12-03T00:20:50.3569215-05:00[America/Bogota]","0.0","0.43"
